atube4view	HILLARY CRASHED HER BROOM THERE!
Sam Drake	There's no safe way to "harness" nuclear power, let alone store the radioactive waste.
Sam Wilson	Funnily enough I'm going to Pant-ex next week to nerd over the latest developments in trouser technology
Edmund Paul Charnley	Reported now by a British Newspaper - The Daily Express. https://www.express.co.uk/news/world/1035462/pantex-plant-nuclear-weapons-emergency-texas
∵§ain†♣∀₦₲ξℜ∴	They had an earthquake 3 days ago https://youtu.be/XpE5-89XWj4
lue lunsford	Hell is comming
Mmbohn1	What!!!!!! We have a NUCLEAR weapons making facility????!!!!!! What the heck???????!!!!!!!!😳
Roxanne AskMeWillYOU	Hum dear Lord Jesus.. Who didn't do their job?
Lex Green	It’s Cool... Rick Perry is in Charge🤣
Corpus Christi	#Jesus
Cynthia Perras	At first I thought it be concern from the big Mexican storm Willa bearing down - but that’s Pacific west-side, not Texas Gulf-side - unless anyone knows whether its winds and rain and potential flooding could reach that far..?
leewisowaty	Oh well , what's a little more radioactive juice
Moon River	Star-Telegram is reporting that “900!workers picketed the plant after hundreds became sick or died to exposure to toxic or radioactive materials.” - Yamil Berard
Urban Van del	I bet there will be a complete news black out on this , thank you Dahboo, much love from London England, be safe you lovely people x
Peyote Pete	Crazy stuff!
Ang dlwil	I cant get anything on Facebook about dahboo7,
sky watch socal	No on prop 11 they are not above the law..
Bill P	I just wonder if this could be one of the false Flags the Democrats are staging.
513 hook	82nd airborne being deployed to the border
Rick Simpson	Basically every Nuclear Power Plant,, is a nuclear arms manufacturer,,. A nuclear power plant does over half the work of making a nuclear warhead or bomb,,,. And they generally make over 1, million dollars a day worth of electric too ,,. So when you flip that switch you're making them rich and giving them the capabilities to end all life on Earth,,,. !!!  by the way all four of those nuclear reactors in Japan has melted deep deep down into the Earth there's no recovering those fuel rods,,,. !!!  And the government has secretly raised the amount of radiation that can be in the food the water,, and in your body,,,  in the majority of all the radiation detectors in every state is not working for has been turned off,,. ???
Angela Hite	Any correlation with the earthquake recently?
wolvenwood	to all who live nearby: get your iodine tablets, it will help greatly to reduce effects of any radiation you might be absorbing. My guess is Deep State attack of the plant and Patriots are fighting it off.
Doll Empire Club	Getting ready for the caravan attack
White Stone	lay all the nuclear waste at the border, between US And mexico!!!
Estebahn G	Operational
Kathy Carver	I'm not on Twitter. But I watch all of your videos. Please post updated info about this on your YouTube page? TU!
A Team	thats got to be a huge underground base,   if it was really bad they would have made it a evacuation,  so this must be a radiation leak of some kind in pipes or containers,
Gretchen Joy Hackett	Are they going to bomb the caravan?
Just for Fun	Is there going to be a terrorist attack at that place?
StephenT	Local news reported that the incident has ended and the all clear has been given. They still haven't said what happened though.
Chris Kiehart	Evil Devil all his Minions always up to No Good Always We In Times Of Revelation End Times Evil Demons Trumps more then one Obama is The Anti Christ The Devil It Itself Needed a Body 👼💙☝️.....................
cassanoa	could be anything - probably a deep state effort to compromise some weapons now that their access to the military is being denied - they went for the source - i dont know how many men guard this location but its over whelming - with reserves on call - not to worry
Danny Cashmore	😂😂😂😂 how can you thumbs down this vid?
Waterlily 2017	It's actually by Panhandle, TX, a very small town between Amarillo and Pampa. Years ago I noticed just how many people in that town got sick and died of cancer and I think it has to do with that plant. Way too many people for such a small town.
Faith Everylasting	Wait is this a nuclear power plant or a nuclear weapons facility? They are two diiferent things. And I really don't think they be telling you anything if it was a nuclear weapons facility. That would be top secret to the public. By the way it would take more 2 people. I believe your talking about a nuclear power plant. Someone probably forget to do lock out and tag procedure.
Awakened	Same plant that Israel stole w-54 Davy Crockett Nuclear pits from...which were possibly used on 9/11. Read the WHOLE article. https://www.veteranstoday.com/2015/04/05/israel-nuked-america-on-9-11-01-shout-it-from-the-rooftops-part-ii/
Sam Jones	I live in Floydada about 2hrs away maybe 3hrs and this has me concerned
EzeAz Ω	Someone spilled the ooze? Do you want ninja Turtles? Because that's how you get Ninja Turtles.
barf245	https://en.wikipedia.org/wiki/Pantex_Plant
tracyovercomer	There was a magnitude 4 Earthquake there either yesterday or two days ago
Jeff Cornwell	I saw some kind of cloud on radar.  Not a typical cloud
Juan Hidalgo	Any news on the bomb that was delivered to George soros house ?
Ardie Bee	Could this be connected with the earthquake there yesterday?
Marine 3531	This could be the start of something huge.......https://maoistrebelnews.com/2017/09/11/venezuela-announces-currency-reform-away-from-us-dollar/
Merv Schetter	Sounds like an EVENT coming to our southern boarders because of the emigration problem.
Killjoy Prepper	Twatter is for twats.
Anthony Harrison	Good timing with America abandoning the treaty
BlessedandHighly Favored	I have not gotten an alert about this. Pantex is armed with a lot of security and you got to have a special clearance. I’m apart of the DECON Team 🤔🤔🤔
Stennie Watts	Precautions are being taken due to a security event. Access to FM2373 has decreased north of Hwy. 60. Other precautions include assistance from Carson County Sheriff and Amarillo Police Department.-From Pantex Plant FB Page
Jason 333	It's about to rain!
Avis Swope	MANY THANKS DAHBOO777
Becky Masotti	Just read NASA upped it's space defense today....no coincidences
Billy Whyte	🙉 💣💥🙈
oak 1971	https://www.youtube.com/watch?v=IZBf16B5vhs
Lee Smith	My neck of the woods!!
Tracy Brand	Wow, not good.. Prayers...
greg ghaney	Carolyn love your videos DAHBOO. Thank you for your hard work and your thoughts and your research. Good stuff as always
Steveo Smith	I live right here near Pantex, havent heard anything
Terry Lofton	They just had an earthquake there. Hmm
Joel Miller	Operational emergency... hmmm
tai palomino	https://www.facebook.com/127998897210320/posts/2133697716640418/
Johnny Kat	the B61-12 is in the qualification stage at pantex ..
Jason Craig	We thank you Dahboo for all your hard work and all the up to date info... lets continue to get prepared, but realizing  this will only take us so far and that what will be brought up against us all will need to be fought on a SPIRITUAL LEVEL, Thru Jesus Christ, to get our houses in order and our hearts right w God, receive salvation freely, the Holy Spirit, and be baptized in the name of Jesus. this is THE ONLY THING THAT WILL KEEP ALL OF US DURING WHAT WILL BE BROUGHT UP AGAINST US ALL!!! I love u all brothers and sisters, Jesus loves u even more, dying paying the ultimate sacrifice, that we may live ETERNALLY W HIM IN PARADISE!!! 2 Corinthians Ch.10 3 For though we walk in the flesh, we do not war after the flesh: 4 (For the weapons of our warfare are not carnal, but mighty through God to the pulling down of strong holds;) Ephesians Ch.6 10 Finally, my brethren, be strong in the Lord, and in the power of his might. 11 Put on the whole armour of God, that ye may be able to stand against the wiles of the devil. 12 For we wrestle not against flesh and blood, but against principalities, against powers, against the rulers of the darkness of this world, against spiritual wickedness in high places. 13 Wherefore take unto you the whole armour of God, that ye may be able to withstand in the evil day, and having done all, to stand. GOD BLESS YOU ALL BROTHERS AND SISTERS,
Nate Ramos	My city 😮
Marlene Hager	Dahboo7,  please watch this video  it's titled Nuclear Energy is NOT What you think.     Https://youtu.be/vkAFu7HQyzY     It's long but will blow your mind.  Everyone is so scared about NOTHING.
OblioAndArrow	The security event at Pantex has ended without incident. Thanks to the Carson County Sheriff and @AmarilloPD for their quick response. https://twitter.com/PantexPlant/status/1054791518622568450
la fille de second choix toujours	Prayers for the community and the workers there that they will all be safe. Strange things happening.
Bumble Bee	Dahboo has got this confused with a tampon factory...carry on.
Vonda Hartsock-Oneil	It's the United States nuclear weapons assembly and disassembly facility
R Gile	No need to be alarmed eh? Then they should give us some details.  Like did some material go missing, a spill into the water supply, a security threat or breach?
Evol Jay	Let's get it on!, Yahweh is in control, seek Him
Anne	That plants been an issue
David Samuel Peckinpah	Hope its just a drill
Marcel Cousineau	Psalms 9:17 In play for USA.
ElectricSoldier	On the 23rd. Meanwhile gasoline jumps .50 a gallon!
theSeymoor	About that mysterious aircraft over China  a few days ago, I saw a clip of a nuclear missile launch, when the guidance system activates the missile twists around just like that one.
Dan Worth	I wonder how many Israelis the stupid American bible thumpers allow into that facility?
Craig Laing	People get ready for god is at hand! when you turn your back against god bad thing happen.
David Sassin	If that area blows, it reminds me of the America navy future map split 🤔
Alloflightx2 x9	Oops ! Wrong wire. Run !!!!!!!!
john clark	I get the feeling another false flag event will happen in the near future we don't what it is but be prepared at all costs
caitgems1	I don't care, I live in Scotland 😂👌
Its Magical	DAMN...STAY SAFE PEOPLE..HOPE NOT ANY TERROIST..PLEASE
Colonel Landon	THANKYOU
jason List	Ever see the map in The Simpsons predictions.... I pray this isn't the case... Uh
Starbuck 777	"DON'T show me the way to Amarillo" ... lalalala lalalalala  ... "my pillow" ... But seriously, praying for the workers and the people of Amarillo 🙏
James Crow	Yeah we're fucked
Clay Baker	I live in Amarillo and have driven by this plant a million times. Never heard of this group
Cj USA	Potassium Iodide daily is sski wellness
The,Awakened satan within christ	Sounds like a smart hurricane attack on electric power plant
Samuel R	Diversion followed by theft of weapons by deep state.
The Fully Awakened	There goes the neighborhood !
Hopi Ng	It is a very lock down facility. They are heavily armed, and have much of America’s nuclear stock pile.  It was always a running joke that if pantex goes so does the state.  Prayers that it’s something simple.
dan danny	oooh dayum
Ponder That	So Homer walked away from the button again?
Courtney Derouen	Thanks for the video! I’m in Lubbock TX and no news about it here.
Alexander Afxendiou	No more superpowers
Erin- James	Thank you Dahboo!
iPac_9mm	vote red
Fedora Emelianenko	I follow you on twitter but I literally never see your posts.
Vinny Burzio	This is the way to amerillo...
wild flower	...TY....sharing  !
brenda Moll	what good are laws and rights if we condone support and help destroying the planet that sustains all life with whats really simply more toxins
Ms Tina	Lord stand by the community at this time we hope all is okay. 🙏🏽❤️🙏🏽❤️🙏🏽👌🏽
Mad Mack 10 G	Nuclear weapons in the limelight once again! 🧐
colm mullins	First
The Mat Taos	The first seal is already opened
